iter	Passed	Remaining
0	159	159357
1	160	80043
2	161	53572
3	161	40334
4	162	32387
5	163	27088
6	164	23358
7	165	20536
8	166	18342
9	167	16568
10	168	15113
11	168	13902
12	169	12875
13	170	12008
14	171	11251
15	172	10585
16	173	10004
17	173	9481
18	174	9013
19	175	8591
20	176	8209
21	176	7861
22	177	7552
23	178	7273
24	179	7011
25	180	6766
26	181	6537
27	182	6325
28	182	6125
29	183	5939
30	184	5770
31	186	5630
32	187	5483
33	188	5344
34	189	5220
35	190	5094
36	191	4972
37	191	4858
38	192	4751
39	193	4646
40	194	4546
41	195	4450
42	195	4359
43	196	4271
44	197	4189
45	198	4109
46	198	4034
47	199	3965
48	200	3895
49	201	3828
50	202	3763
51	203	3701
52	203	3640
53	204	3582
54	205	3526
55	206	3477
56	207	3426
57	207	3375
58	208	3327
59	209	3280
60	210	3233
61	210	3189
62	211	3146
63	212	3106
64	213	3070
65	214	3032
66	215	2994
67	215	2952
68	216	2918
69	217	2883
70	217	2849
71	218	2816
72	219	2784
73	220	2757
74	221	2729
75	222	2700
76	222	2671
77	223	2642
78	224	2614
79	225	2589
80	225	2563
81	226	2537
82	227	2512
83	228	2489
84	228	2462
85	229	2439
86	230	2414
87	230	2391
88	231	2370
89	232	2349
90	233	2328
91	233	2307
92	234	2288
93	235	2268
94	236	2249
95	236	2230
96	237	2212
97	238	2196
98	239	2180
99	240	2162
100	241	2146
101	241	2126
102	242	2109
103	243	2094
104	243	2078
105	244	2062
106	245	2047
107	246	2031
108	246	2017
109	247	2002
110	248	1987
111	249	1975
112	249	1961
113	250	1947
114	251	1934
115	251	1920
116	252	1908
117	253	1896
118	254	1882
119	254	1869
120	255	1857
121	256	1845
122	256	1831
123	257	1819
124	258	1808
125	259	1797
126	259	1786
127	260	1773
128	261	1762
129	261	1752
130	262	1741
131	263	1733
132	264	1723
133	265	1713
134	265	1703
135	266	1694
136	267	1684
137	268	1674
138	268	1665
139	269	1655
140	270	1646
141	271	1637
142	271	1628
143	272	1620
144	273	1612
145	274	1603
146	274	1595
147	275	1586
148	276	1578
149	277	1570
150	277	1562
151	278	1555
152	279	1547
153	280	1539
154	281	1532
155	281	1525
156	282	1517
157	283	1510
158	284	1503
159	284	1496
160	285	1488
161	286	1481
162	287	1475
163	288	1469
