iter	Passed	Remaining
0	183	183298
1	186	93122
2	187	62327
3	188	46886
4	189	37651
5	190	31506
6	191	27148
7	192	23853
8	193	21296
9	194	19246
10	195	17564
11	196	16169
12	197	14977
13	198	13948
14	201	13227
15	202	12453
16	203	11766
17	204	11163
18	205	10617
19	206	10126
20	207	9690
21	208	9280
22	209	8905
23	210	8556
24	211	8236
25	211	7939
26	212	7664
27	219	7621
28	220	7387
29	221	7160
30	222	6945
31	223	6746
32	223	6557
33	224	6380
34	225	6216
35	226	6060
36	227	5916
37	228	5775
38	233	5744
39	233	5614
40	234	5493
41	235	5376
42	236	5266
43	237	5159
44	238	5056
45	239	4957
46	239	4861
47	240	4770
48	241	4682
49	242	4598
50	243	4522
51	244	4465
52	245	4391
53	246	4320
54	247	4252
55	248	4185
56	249	4122
57	250	4066
58	251	4009
59	252	3950
60	252	3893
61	253	3837
62	254	3783
63	255	3731
64	255	3681
65	256	3632
66	257	3588
67	260	3570
68	261	3527
69	262	3483
70	263	3441
71	263	3399
72	264	3359
73	265	3320
74	266	3282
75	266	3245
76	267	3208
77	268	3172
78	269	3137
79	269	3104
80	270	3071
81	271	3040
82	272	3006
83	272	2975
84	274	2950
85	274	2920
86	275	2891
87	276	2864
88	277	2838
89	278	2813
90	279	2787
91	279	2761
92	280	2736
93	281	2711
94	282	2687
95	283	2665
96	283	2641
97	284	2619
98	288	2628
99	289	2607
100	290	2586
101	291	2565
102	292	2545
103	293	2525
104	293	2505
105	294	2486
106	295	2466
107	296	2448
108	297	2429
109	297	2410
110	298	2392
111	299	2373
112	302	2372
113	303	2356
114	303	2338
115	304	2322
116	305	2304
117	306	2288
118	306	2271
119	307	2256
120	308	2240
121	309	2224
122	310	2210
123	310	2195
124	311	2180
125	312	2166
126	312	2151
127	313	2137
128	314	2124
129	317	2125
130	318	2111
131	319	2098
132	319	2085
133	320	2072
134	321	2060
135	322	2048
136	323	2036
137	324	2025
138	324	2013
139	325	2000
140	326	1989
141	326	1975
142	327	1964
143	328	1952
144	329	1941
145	332	1945
146	333	1934
147	334	1923
148	334	1913
149	335	1902
150	336	1892
151	337	1883
152	338	1875
153	339	1867
154	341	1859
155	342	1851
156	343	1842
157	343	1832
158	347	1836
159	348	1827
160	348	1817
161	349	1809
162	351	1803
163	352	1796
164	353	1788
165	354	1779
166	354	1770
167	355	1761
168	356	1753
169	357	1744
170	358	1735
171	358	1727
172	363	1739
173	364	1730
174	365	1722
175	366	1714
176	367	1707
177	368	1699
178	368	1691
179	369	1683
180	370	1675
181	371	1667
182	371	1659
183	372	1652
184	373	1644
185	374	1636
186	377	1639
187	377	1631
188	378	1624
189	379	1618
190	380	1611
191	381	1605
192	382	1598
193	383	1592
194	383	1585
195	384	1579
